"flnatureza";"nmprimeiro";"nmsegundo";"dscep";"dsdocumento"
1;"Danilo";"Araujo";"25990-040";"467.137.795-06"
2;"Thiago";"Barros";"69036-250";"303.671.490-10"
2;"Mariana";"Pinto";"17204-500";"171.021.730-83"
1;"Melissa";"Souza";"01306-020";"190.114.088-10"
2;"Rebeca";"Souza";"17514-844";"685.664.703-46"
1;"Carolina";"Lima";"24720-290";"666.865.390-15"
2;"Rodrigo";"Melo";"68553-230";"302.278.966-10"
2;"Gabrielle";"Fernandes";"93537-060";"631.260.130-74"
2;"Sophia";"Araujo";"19065-500";"864.183.360-97"
1;"Bruna";"Costa";"15500-006";"331.840.498-50"
1;"Maria";"Cardoso";"41270-412";"148.734.985-89"
1;"Luan";"Costa";"13083-592";"157.725.707-30"
1;"Felipe";"Barros";"29121-030";"968.392.097-76"
1;"Mateus";"Souza";"91340-220";"543.105.450-33"
2;"Nicole";"Barbosa";"26351-500";"509.771.735-00"
2;"Camila";"Pinto";"78098-694";"635.017.121-70"
1;"Antônio";"Silva";"67143-510";"989.966.706-42"
2;"Ana";"Melo";"18307-597";"889.593.541-12"
1;"Nicolash";"Almeida";"24732-480";"742.873.240-99"
1;"Enzo";"Rodrigues";"53407-530";"609.583.925-44"
2;"Luiza";"Dias";"06535-195";"927.192.458-44"
2;"Leonardo";"Fernandes";"59132-830";"829.333.397-90"
2;"Amanda";"Goncalves";"74953-620";"256.970.188-27"
1;"Igor";"Ferreira";"15030-570";"286.426.753-57"
2;"Lara";"Cavalcanti";"69094-450";"267.652.645-66"
1;"Breno";"Santos";"24738-690";"785.910.744-91"
1;"Maria";"Martins";"16022-480";"926.872.894-00"
2;"Luís";"Oliveira";"73751-314";"418.053.002-37"
2;"Carlos";"Azevedo";"81770-040";"363.917.444-59"
2;"Miguel";"Oliveira";"35163-058";"157.464.687-70"
2;"Mariana";"Ferreira";"14055-210";"355.911.505-19"
2;"Daniel";"Barros";"13327-283";"552.762.190-52"
1;"Miguel";"Rocha";"73755-062";"767.412.161-54"
2;"Guilherme";"Gomes";"72631-111";"435.395.901-88"
2;"Eduarda";"Ferreira";"27350-010";"244.858.858-95"
1;"Matilde";"Correia";"29707-351";"116.232.295-02"
1;"Daniel";"Ribeiro";"13067-510";"635.498.911-72"
2;"Giovanna";"Barbosa";"98025-660";"127.672.780-13"
1;"Murilo";"Almeida";"70873-530";"273.477.883-15"
1;"Nicolas";"Goncalves";"40366-020";"265.805.583-85"
2;"Kauan";"Araujo";"26040-155";"225.688.643-38"
1;"Evelyn";"Gomes";"79081-365";"653.186.433-88"
2;"Emily";"Martins";"18055-350";"469.752.631-75"
2;"Evelyn";"Oliveira";"41710-690";"526.427.932-22"
1;"Julieta";"Lima";"40365-385";"777.648.345-13"
1;"Melissa";"Ribeiro";"13475-252";"595.552.144-50"
2;"Beatriz";"Almeida";"65077-070";"584.712.899-11"
1;"Laura";"Goncalves";"07181-050";"483.783.774-31"
1;"Lucas";"Goncalves";"85867-210";"992.396.622-43"
2;"Larissa";"Oliveira";"24030-020";"185.301.896-12"
1;"Igor";"Dias";"04822-180";"902.839.170-32"
1;"Leonor";"Rocha";"06624-060";"948.589.183-00"
1;"Laura";"Pinto";"89237-465";"490.626.318-60"
1;"Guilherme";"Alves";"72231-409";"757.144.418-77"
2;"Manuela";"Alves";"25725-470";"512.318.757-04"
1;"Rafaela";"Azevedo";"12242-541";"710.443.131-45"
2;"Laura";"Barros";"12948-520";"105.960.533-39"
2;"Ryan";"Correia";"37900-294";"932.895.850-42"
1;"Felipe";"Pereira";"29163-625";"884.065.702-96"
1;"Tomás";"Cunha";"50771-710";"953.513.017-09"
1;"Thaís";"Martins";"79823-600";"795.592.966-71"
1;"Júlio";"Barros";"07250-080";"427.099.201-82"
1;"Danilo";"Santos";"37704-368";"731.049.356-70"
2;"Sofia";"Ribeiro";"55008-420";"595.486.899-95"
1;"Manuela";"Souza";"29160-060";"972.429.306-85"
1;"Arthur";"Cardoso";"75708-300";"478.290.073-22"
2;"Daniel";"Pereira";"51340-723";"304.681.006-79"
1;"Clara";"Dias";"54160-520";"937.287.552-06"
1;"Carlos";"Correia";"06172-250";"426.580.862-02"
2;"Leonardo";"Lima";"13225-230";"303.424.928-45"
1;"Júlio";"Santos";"21650-240";"391.266.486-28"
1;"Paulo";"Castro";"16402-524";"716.780.230-19"
2;"Davi";"Barros";"08383-010";"291.146.941-07"
1;"Otávio";"Rocha";"13343-030";"691.921.579-98"
2;"Gabrielle";"Rocha";"59114-780";"320.865.732-35"
1;"Anna";"Alves";"02336-030";"489.723.831-55"
2;"Luís";"Pinto";"55018-051";"672.944.903-92"
1;"Livia";"Fernandes";"13174-490";"373.271.854-96"
2;"Júlio";"Cunha";"74403-280";"528.927.454-54"
2;"Davi";"Barros";"09290-030";"269.741.856-34"
1;"Luís";"Araujo";"27410-180";"283.275.786-34"
1;"Sarah";"Lima";"40335-870";"610.743.036-95"
2;"Sophia";"Melo";"55297-200";"255.844.123-09"
1;"Brenda";"Silva";"86802-626";"728.560.815-76"
1;"Felipe";"Fernandes";"14170-300";"761.438.215-34"
2;"Danilo";"Santos";"05267-080";"818.289.874-92"
1;"Emilly";"Lima";"95074-271";"360.652.338-62"
2;"Julian";"Fernandes";"13600-340";"358.662.792-07"
1;"Erick";"Oliveira";"01041-001";"846.459.905-60"
2;"Alice";"Sousa";"02080-045";"726.482.434-96"
1;"Douglas";"Barbosa";"89806-263";"124.847.699-97"
2;"Felipe";"Cavalcanti";"45998-223";"154.822.219-46"
1;"Joao";"Pinto";"38402-092";"337.693.654-45"
2;"Lara";"Cardoso";"03515-090";"706.083.771-04"
2;"Leila";"Castro";"72440-511";"240.148.546-55"
2;"Thaís";"Ferreira";"83601-250";"982.899.136-56"
1;"Letícia";"Carvalho";"29144-435";"163.127.585-24"
1;"Lavinia";"Correia";"06124-340";"788.267.838-45"
2;"Vitór";"Cunha";"77018-569";"529.576.084-72"
2;"Fernanda";"Ribeiro";"29103-130";"698.703.273-46"
1;"Livia";"Cavalcanti";"74610-125";"911.830.954-22"
1;"Emily";"Pinto";"13333-380";"259.589.933-30"
1;"Mariana";"Cunha";"36035-250";"318.914.365-03"
1;"Davi";"Fernandes";"23835-770";"373.314.891-60"
1;"Laura";"Cavalcanti";"26020-255";"909.438.159-16"
2;"Kai";"Pereira";"27214-040";"549.785.018-90"
2;"Nicole";"Barros";"89213-066";"806.559.335-65"
2;"Tomás";"Alves";"24120-110";"536.754.316-22"
2;"Lara";"Correia";"13803-350";"597.861.341-92"
1;"Luiza";"Almeida";"16204-320";"828.211.989-06"
1;"Estevan";"Cavalcanti";"06630-090";"996.523.900-20"
1;"Emilly";"Rocha";"71880-017";"137.130.625-79"
1;"Tânia";"Barros";"83311-230";"354.845.074-13"
1;"Emily";"Martins";"35300-191";"648.984.479-61"
2;"Letícia";"Dias";"12071-500";"965.358.702-19"
2;"Julia";"Ribeiro";"75040-390";"850.321.703-13"
2;"Estevan";"Cunha";"74988-698";"447.492.748-60"
2;"Vinícius";"Oliveira";"13475-253";"894.777.685-88"
2;"Bruna";"Oliveira";"87083-210";"762.729.587-49"
2;"Kauan";"Rocha";"21020-350";"386.740.581-67"
2;"Alice";"Martins";"32185-352";"370.137.230-61"
1;"Nicole";"Araujo";"18052-418";"886.463.818-03"
2;"Letícia";"Carvalho";"40342-140";"977.021.182-61"
1;"Joao";"Sousa";"53020-360";"713.584.428-94"
1;"Sophia";"Alves";"18686-070";"878.269.682-91"
1;"Giovana";"Gomes";"84032-410";"839.432.007-44"
1;"Yasmin";"Almeida";"77018-486";"557.983.270-27"
1;"Nicole";"Rocha";"83404-480";"438.688.638-93"
1;"Enzo";"Barbosa";"05872-110";"772.555.234-04"
1;"Sarah";"Lima";"81570-110";"802.384.494-67"
2;"Raissa";"Sousa";"13054-484";"579.786.966-77"
2;"Marina";"Alves";"21511-530";"158.539.900-04"
1;"Gabrielly";"Cavalcanti";"17523-680";"982.968.776-78"
1;"Miguel";"Correia";"75083-050";"272.036.907-17"
1;"Erick";"Carvalho";"74974-100";"307.928.659-60"
1;"Gabrielly";"Azevedo";"38181-084";"886.191.095-53"
2;"Leila";"Martins";"17023-647";"525.202.520-73"
1;"Vitor";"Santos";"74210-300";"669.446.589-09"
1;"Gustavo";"Pereira";"29173-396";"687.146.668-12"
2;"Luan";"Rocha";"62040-020";"514.110.691-88"
1;"Thaís";"Lima";"85819-006";"352.902.191-10"
2;"Carlos";"Fernandes";"38302-124";"108.365.363-63"
1;"Miguel";"Pereira";"74350-360";"534.389.690-17"
2;"Breno";"Cunha";"88106-842";"665.488.550-35"
2;"Gabrielly";"Gomes";"72322-112";"421.792.595-65"
1;"Bianca";"Barbosa";"06727-105";"771.368.755-60"
2;"Giovana";"Castro";"69901-170";"846.855.877-07"
1;"Guilherme";"Costa";"18600-110";"122.094.608-75"
2;"Bianca";"Ferreira";"07143-490";"996.549.108-96"
2;"Melissa";"Souza";"57051-100";"390.633.659-00"
1;"Yasmin";"Rocha";"82640-310";"525.867.269-79"
2;"Vinícius";"Cardoso";"09134-100";"477.839.081-44"
1;"Rodrigo";"Oliveira";"39800-579";"766.396.859-06"
1;"André";"Alves";"73755-091";"836.018.613-80"
2;"Samuel";"Oliveira";"60730-840";"183.351.829-22"
1;"Bruna";"Ferreira";"21380-020";"701.491.625-45"
1;"Emilly";"Martins";"84182-010";"592.670.591-65"
2;"Caio";"Barbosa";"68015-140";"513.903.931-19"
1;"Lavinia";"Barros";"89217-500";"382.534.433-90"
1;"Aline";"Sousa";"13320-160";"491.945.364-73"
2;"Carlos";"Cavalcanti";"94415-780";"468.132.282-26"
2;"André";"Lima";"36081-090";"657.430.874-74"
2;"Victor";"Rodrigues";"72240-815";"485.051.837-03"
1;"Miguel";"Melo";"30830-260";"309.991.580-74"
1;"Vinícius";"Alves";"79113-150";"188.830.298-44"
2;"Laura";"Melo";"72161-601";"505.149.232-02"
1;"Carlos";"Silva";"06655-590";"108.589.535-10"
1;"Julian";"Santos";"58031-070";"395.911.049-95"
2;"André";"Correia";"50720-741";"865.290.797-85"
1;"Gabrielly";"Alves";"87113-290";"454.237.935-30"
2;"Leonardo";"Correia";"06853-280";"634.123.122-90"
2;"Vitoria";"Alves";"65910-320";"489.859.637-16"
1;"Otávio";"Cunha";"08850-040";"312.596.090-81"
2;"Marisa";"Ribeiro";"70879-150";"770.552.719-75"
2;"Bruna";"Barbosa";"12341-250";"127.510.992-62"
1;"Fernanda";"Barros";"29047-064";"756.723.494-71"
1;"Paulo";"Silva";"88058-442";"982.525.786-59"
1;"Alice";"Lima";"44050-730";"165.719.555-47"
2;"André";"Cavalcanti";"81470-325";"428.905.676-80"
2;"Nicolash";"Goncalves";"31130-440";"378.990.146-62"
2;"Giovana";"Silva";"79092-284";"670.951.492-75"
1;"Danilo";"Cunha";"75712-460";"766.416.803-12"
1;"Vitór";"Barbosa";"60030-120";"578.411.912-51"
1;"Brenda";"Araujo";"29174-766";"115.376.345-18"
1;"Ágatha";"Castro";"58064-670";"840.450.803-84"
1;"Luiza";"Pereira";"87301-460";"435.521.478-88"
1;"Matheus";"Costa";"55006-103";"377.392.425-94"
2;"Kaua";"Barbosa";"74966-430";"725.970.120-00"
1;"Ana";"Barros";"25745-360";"506.448.094-69"
2;"Tomás";"Ferreira";"77425-370";"562.903.790-03"
1;"Vitor";"Ribeiro";"06655-010";"313.716.035-96"
1;"Rodrigo";"Pereira";"09420-440";"901.858.886-58"
1;"Vitór";"Correia";"79108-284";"411.328.991-33"
1;"Bruno";"Castro";"38406-268";"861.271.274-24"
2;"Carlos";"Martins";"36300-070";"458.733.771-46"
2;"Thiago";"Goncalves";"12242-660";"282.488.765-60"
2;"Giovana";"Correia";"60345-230";"144.786.346-10"
2;"Cauã";"Barros";"60761-390";"392.425.659-46"
1;"Luiz";"Ribeiro";"65604-500";"706.237.455-50"
1;"André";"Correia";"81510-580";"689.211.905-03"
2;"Júlio";"Ribeiro";"88054-550";"962.128.202-01"
1;"Beatriz";"Rodrigues";"58303-270";"439.841.731-13"
1;"Mariana";"Lima";"89221-635";"218.077.862-77"
2;"Victor";"Almeida";"31140-560";"510.832.145-78"
2;"Gabrielly";"Dias";"93054-030";"720.599.496-96"
2;"Otávio";"Souza";"13875-090";"993.354.384-99"
1;"Antônio";"Rocha";"32265-060";"170.235.310-92"
2;"Nicolash";"Correia";"35680-270";"667.593.009-55"
2;"Gustavo";"Ferreira";"06384-070";"900.919.036-61"
1;"Tiago";"Carvalho";"77415-740";"409.801.808-05"
1;"Samuel";"Barros";"59122-247";"941.647.139-92"
1;"Rodrigo";"Carvalho";"69918-300";"571.828.048-75"
1;"Luana";"Cardoso";"74691-680";"982.360.983-70"
1;"Fábio";"Carvalho";"54765-180";"807.419.129-02"
1;"Luan";"Dias";"13467-622";"798.319.866-36"
1;"Samuel";"Sousa";"06036-080";"734.770.406-51"
2;"Beatrice";"Barbosa";"12238-500";"181.247.127-00"
2;"Antônio";"Souza";"72501-320";"660.857.341-31"
2;"Vitoria";"Dias";"87014-270";"240.780.882-79"
2;"Brenda";"Souza";"36047-500";"103.801.662-24"
2;"Sophia";"Oliveira";"13184-454";"173.476.370-15"
1;"Isabelle";"Rodrigues";"02239-010";"475.793.921-35"
1;"Diego";"Azevedo";"04089-014";"635.812.904-05"
1;"Pedro";"Cavalcanti";"89065-120";"152.462.775-50"
1;"Kauã";"Goncalves";"23525-103";"279.950.601-14"
1;"Gabrielle";"Silva";"05858-000";"836.673.492-70"
2;"Brenda";"Sousa";"06804-225";"707.729.526-55"
2;"Victor";"Castro";"02052-060";"337.178.681-10"
2;"Nicolash";"Lima";"72602-408";"627.771.749-97"
1;"Leila";"Rodrigues";"29172-357";"464.899.593-72"
1;"Vinicius";"Azevedo";"13255-322";"937.732.540-40"
1;"Carolina";"Melo";"09831-535";"420.443.244-15"
2;"Enzo";"Pinto";"14075-610";"180.740.650-49"
2;"Victor";"Lima";"54315-301";"224.288.650-99"
2;"Arthur";"Correia";"18205-680";"485.238.418-57"
2;"Leila";"Cardoso";"32070-380";"435.570.415-73"
2;"Miguel";"Santos";"72810-030";"411.731.930-22"
1;"Lucas";"Cavalcanti";"13976-099";"546.842.326-03"
1;"Vitor";"Melo";"72854-005";"496.290.919-33"
2;"Vitória";"Martins";"83401-170";"448.267.365-09"
2;"Vinicius";"Pereira";"04385-130";"462.795.728-97"
1;"Aline";"Costa";"68742-226";"317.610.222-45"
1;"Eduardo";"Martins";"12604-250";"466.475.053-69"
2;"Nicole";"Martins";"58081-332";"943.762.418-65"
1;"Vinícius";"Rocha";"26053-800";"736.678.993-35"
2;"Danilo";"Melo";"96815-560";"775.519.397-76"
1;"Gustavo";"Ribeiro";"91215-292";"725.192.797-70"
1;"Nicolash";"Santos";"09581-630";"864.330.599-53"
1;"Larissa";"Cardoso";"80820-100";"313.743.929-95"
1;"Renan";"Carvalho";"83406-390";"889.819.296-70"
1;"José";"Araujo";"04464-030";"427.512.929-68"
1;"Luís";"Correia";"91790-412";"832.735.617-85"
1;"Leonor";"Goncalves";"25565-360";"759.998.418-60"
2;"Tânia";"Alves";"25530-190";"408.031.152-45"
1;"Vitoria";"Silva";"13058-149";"722.949.652-72"
2;"Maria";"Lima";"18601-706";"210.741.299-54"
2;"Gabriela";"Sousa";"13186-040";"732.117.278-33"
1;"Livia";"Cardoso";"68746-070";"646.075.285-01"
2;"Joao";"Cavalcanti";"32010-460";"759.399.024-99"
1;"Giovana";"Pinto";"29105-300";"347.031.794-15"
2;"Igor";"Cavalcanti";"16203-505";"585.113.704-55"
1;"Rafaela";"Silva";"21235-640";"673.060.450-67"
1;"Felipe";"Goncalves";"24412-640";"916.178.651-92"
2;"Vitoria";"Costa";"85901-010";"364.817.319-76"
2;"Isabelle";"Barros";"13420-570";"275.945.719-24"
1;"Emily";"Cunha";"22750-540";"668.859.768-30"
1;"Clara";"Carvalho";"17509-005";"213.617.877-67"
1;"Douglas";"Pinto";"32015-170";"911.651.234-01"
2;"Livia";"Sousa";"50870-680";"504.063.086-75"
2;"Isabella";"Cavalcanti";"57043-240";"828.227.007-53"
2;"Júlio";"Souza";"13974-354";"890.590.800-41"
1;"Paulo";"Gomes";"74377-380";"529.478.790-31"
2;"Enzo";"Cardoso";"09251-150";"863.075.476-18"
1;"Alex";"Barbosa";"78132-292";"441.639.869-79"
2;"Igor";"Lima";"72855-830";"969.481.411-10"
2;"Luiza";"Sousa";"21361-280";"697.863.406-98"
2;"Paulo";"Silva";"09430-370";"939.932.811-28"
1;"Guilherme";"Barros";"54705-100";"515.074.297-03"
2;"Letícia";"Ferreira";"11703-150";"108.835.711-37"
2;"Arthur";"Martins";"71574-100";"462.958.576-12"
1;"Danilo";"Sousa";"70670-600";"521.591.536-99"
1;"Cauã";"Araujo";"08597-110";"254.083.914-26"
2;"Guilherme";"Souza";"54515-180";"154.614.150-24"
2;"Joao";"Rocha";"82800-220";"779.195.491-59"
2;"Beatrice";"Cardoso";"03571-160";"900.439.016-20"
1;"Thiago";"Goncalves";"09790-210";"777.877.337-64"
1;"Raissa";"Lima";"72260-854";"467.851.835-53"
2;"Raissa";"Almeida";"81520-350";"646.049.764-81"
1;"Luiza";"Sousa";"09443-150";"430.667.164-06"
2;"Mateus";"Cardoso";"86081-320";"921.866.994-00"
1;"Luiza";"Rocha";"77826-190";"999.265.394-91"
2;"Gabriel";"Rocha";"78088-365";"852.439.210-09"
1;"Carla";"Alves";"90840-070";"248.717.878-77"
1;"Evelyn";"Pereira";"04842-080";"486.548.992-47"
2;"Luís";"Correia";"44065-070";"248.127.967-09"
1;"André";"Cavalcanti";"86081-520";"294.975.300-05"
1;"Luiza";"Barbosa";"86035-776";"923.203.195-73"
2;"Breno";"Souza";"12327-659";"619.529.162-59"
2;"Beatrice";"Lima";"05777-001";"516.480.405-00"
2;"Gabrielle";"Pereira";"58704-555";"561.959.212-03"
1;"Rafael";"Cavalcanti";"94160-250";"362.515.302-51"
1;"Evelyn";"Lima";"88010-230";"562.657.142-60"
2;"Gabrielly";"Rocha";"07902-180";"988.603.698-27"
1;"Julieta";"Goncalves";"60861-690";"169.021.320-54"
1;"Tânia";"Fernandes";"41815-120";"613.097.278-48"
2;"Vitória";"Castro";"06804-200";"336.190.866-30"
1;"Tânia";"Costa";"05270-030";"803.589.043-31"
1;"Thaís";"Cavalcanti";"56506-675";"583.632.034-91"
1;"Igor";"Almeida";"51345-397";"773.748.714-06"
1;"Leila";"Barros";"60540-660";"684.957.485-09"
1;"Sophia";"Sousa";"72853-303";"161.008.544-22"
2;"Leonor";"Cavalcanti";"90830-433";"524.974.149-55"
1;"Marina";"Araujo";"01136-030";"213.984.575-74"
2;"Vitor";"Cunha";"56313-120";"497.335.483-08"
2;"Sofia";"Carvalho";"74255-140";"366.636.905-74"
1;"Lavinia";"Silva";"08550-420";"361.957.564-90"
2;"Marcos";"Silva";"04855-050";"220.014.729-51"
1;"Lucas";"Martins";"29108-735";"161.846.073-08"
1;"Arthur";"Dias";"02873-630";"370.485.626-68"
1;"Enzo";"Silva";"08473-765";"678.981.082-05"
2;"Rafael";"Santos";"99060-200";"807.842.574-00"
2;"Sofia";"Souza";"40313-805";"287.803.847-90"
1;"Letícia";"Silva";"04113-060";"874.407.296-17"
2;"Tiago";"Martins";"29302-750";"621.572.411-40"
2;"Gabrielle";"Rocha";"89206-610";"467.715.006-08"
2;"Kaua";"Ferreira";"23064-580";"114.413.121-96"
2;"Miguel";"Castro";"26022-370";"750.058.796-17"
2;"Beatriz";"Correia";"09635-130";"288.644.773-06"
1;"Leonor";"Martins";"27946-080";"649.606.347-82"
1;"Carolina";"Martins";"12703-090";"903.792.684-34"
2;"Raissa";"Cavalcanti";"74971-160";"134.022.528-05"
1;"Vitoria";"Melo";"54210-339";"664.219.648-18"
1;"Kauê";"Cavalcanti";"04280-110";"768.768.646-26"
1;"Douglas";"Oliveira";"13233-600";"679.367.081-62"
1;"Caio";"Barbosa";"70655-873";"123.151.307-19"
2;"Enzo";"Lima";"18270-040";"565.024.029-92"
1;"Felipe";"Santos";"44571-055";"160.473.168-08"
1;"Júlia";"Carvalho";"60832-641";"858.234.276-46"
2;"Rafaela";"Cavalcanti";"54090-332";"279.630.418-31"
1;"Ryan";"Pinto";"04513-031";"818.267.070-50"
1;"Gabrielly";"Silva";"35300-389";"438.694.757-49"
1;"Letícia";"Barros";"79042-010";"355.710.183-56"
2;"Beatrice";"Goncalves";"72150-309";"575.165.255-02"
1;"Beatriz";"Cunha";"12244-450";"805.726.467-55"
1;"Manuela";"Castro";"25730-630";"765.982.775-82"
1;"Brenda";"Costa";"74944-330";"290.421.639-17"
2;"Emilly";"Sousa";"24723-285";"570.039.240-21"
1;"Eduardo";"Cavalcanti";"13188-237";"470.540.264-20"
2;"Rafaela";"Silva";"30640-570";"191.267.863-20"
1;"André";"Ferreira";"29154-465";"787.221.731-70"
1;"Beatriz";"Sousa";"04531-000";"925.459.135-10"
2;"Brenda";"Correia";"58036-038";"460.190.567-24"
2;"Marisa";"Goncalves";"18045-070";"425.086.905-97"
2;"Arthur";"Santos";"07224-180";"397.167.501-88"
2;"Sophia";"Oliveira";"88075-220";"844.250.334-00"
1;"Diego";"Carvalho";"33944-015";"542.636.250-56"
1;"Kauã";"Sousa";"98802-000";"842.999.230-81"
2;"Douglas";"Sousa";"24450-450";"511.528.672-61"
2;"Lucas";"Barros";"38057-080";"337.863.693-99"
1;"Matilde";"Alves";"36087-530";"168.380.831-24"
1;"Gustavo";"Almeida";"11075-530";"307.648.168-10"
1;"Lavinia";"Rocha";"12946-718";"896.738.806-38"
1;"Davi";"Carvalho";"94130-340";"173.182.114-04"
2;"Diogo";"Melo";"08664-260";"195.699.720-25"
2;"Letícia";"Rodrigues";"25966-225";"169.800.370-64"
2;"Mariana";"Rocha";"13901-273";"608.072.856-76"
2;"Luan";"Costa";"89037-370";"892.221.755-30"
1;"Giovana";"Santos";"13503-014";"272.802.397-22"
2;"Manuela";"Pinto";"51130-500";"920.497.282-39"
1;"Bianca";"Correia";"72871-030";"516.570.051-86"
1;"Eduardo";"Cunha";"18605-280";"242.957.202-83"
1;"Manuela";"Barros";"71927-720";"714.810.502-14"
2;"Mariana";"Almeida";"31720-500";"577.927.305-73"
2;"Miguel";"Silva";"69047-100";"662.741.135-09"
1;"Eduardo";"Santos";"24421-400";"616.290.931-06"
2;"Sofia";"Pereira";"13276-550";"529.665.155-38"
2;"Vitór";"Sousa";"14094-178";"934.622.898-96"
1;"Sarah";"Goncalves";"24734-465";"379.696.518-01"
1;"Arthur";"Dias";"28614-400";"131.623.635-86"
2;"Murilo";"Cardoso";"38408-436";"305.563.579-57"
1;"Thaís";"Correia";"13324-451";"711.512.464-76"
1;"Erick";"Rocha";"73355-002";"139.467.002-84"
2;"Kauã";"Martins";"24467-050";"420.584.357-70"
2;"Clara";"Correia";"18065-509";"630.182.869-01"
1;"Laura";"Araujo";"15041-046";"994.804.784-20"
2;"Beatriz";"Cardoso";"65060-270";"823.916.309-21"
2;"Diogo";"Ribeiro";"28051-235";"276.228.589-51"
2;"Gabrielly";"Lima";"25272-520";"117.082.372-67"
2;"Nicolash";"Sousa";"01402-000";"270.941.133-40"
1;"Sarah";"Almeida";"12904-040";"767.279.925-84"
1;"Laura";"Costa";"77020-110";"875.312.798-60"
1;"Pedro";"Gomes";"08220-480";"504.196.495-57"
2;"Ágatha";"Lima";"24358-620";"264.216.891-32"
1;"Bruna";"Ribeiro";"35660-321";"543.862.345-78"
2;"Caio";"Ferreira";"38072-360";"412.139.635-91"
2;"Vitór";"Martins";"69070-510";"181.973.912-03"
2;"Nicolas";"Barbosa";"52050-240";"205.489.074-04"
2;"Miguel";"Dias";"44021-410";"370.896.888-36"
1;"Bianca";"Ferreira";"05514-050";"575.398.886-52"
1;"Isabelle";"Lima";"13104-150";"723.774.872-62"
2;"Pedro";"Rocha";"18279-450";"540.307.089-35"
1;"Miguel";"Martins";"20930-340";"393.862.752-28"
2;"Júlia";"Lima";"05704-070";"765.877.577-07"
1;"Laura";"Sousa";"23064-020";"890.250.598-72"
2;"Clara";"Silva";"57071-820";"626.703.061-01"
2;"Bianca";"Almeida";"21660-440";"251.966.673-00"
2;"Tiago";"Rodrigues";"25042-610";"989.260.657-40"
2;"Giovanna";"Souza";"69909-120";"125.737.925-95"
2;"Matilde";"Gomes";"08633-020";"242.082.763-55"
2;"Cauã";"Almeida";"56328-260";"451.055.086-37"
2;"Leila";"Pereira";"41305-080";"439.869.265-77"
1;"Isabella";"Alves";"26060-790";"945.409.898-55"
1;"Caio";"Azevedo";"08490-360";"636.914.729-07"
2;"Victor";"Carvalho";"09821-520";"553.996.180-36"
1;"Sarah";"Barros";"59135-300";"130.534.284-40"
1;"João";"Gomes";"40327-370";"934.245.671-59"
1;"Otávio";"Melo";"09970-160";"553.094.334-90"
1;"Diogo";"Lima";"13800-380";"686.341.335-32"
2;"Sophia";"Cardoso";"13730-118";"381.865.306-22"
2;"Beatriz";"Pinto";"08120-250";"766.745.353-54"
2;"Samuel";"Gomes";"60810-040";"620.810.037-24"
2;"Arthur";"Castro";"75503-475";"607.421.999-08"
1;"Camila";"Ribeiro";"75053-610";"663.773.883-22"
1;"Emily";"Alves";"60874-231";"699.577.061-79"
1;"Davi";"Gomes";"13453-022";"593.496.993-54"
2;"Bruno";"Melo";"21850-590";"880.485.877-00"
2;"Paulo";"Sousa";"08534-440";"753.749.807-50"
2;"Daniel";"Cardoso";"91430-392";"360.436.050-15"
2;"Isabelle";"Oliveira";"65055-470";"732.756.565-54"
2;"Ágatha";"Araujo";"12924-720";"288.585.252-64"
2;"Clara";"Cavalcanti";"69095-510";"438.079.500-44"
1;"Amanda";"Ferreira";"22785-065";"611.046.094-01"
2;"Isabelle";"Castro";"79023-780";"559.415.268-73"
2;"Luis";"Ferreira";"26480-040";"276.250.702-20"
1;"Laura";"Barbosa";"06355-210";"427.751.546-03"
2;"Giovana";"Martins";"29308-820";"810.011.953-88"
1;"Vitór";"Santos";"02967-170";"668.476.115-29"
1;"Aline";"Araujo";"14801-380";"732.045.872-15"
2;"Eduardo";"Costa";"79021-172";"867.249.910-72"
1;"Gustavo";"Cavalcanti";"35661-237";"107.911.395-90"
2;"Ágatha";"Castro";"87083-735";"783.949.413-70"
2;"Douglas";"Costa";"14401-278";"733.233.020-28"
2;"Breno";"Castro";"35661-124";"119.649.093-76"
2;"Eduardo";"Cardoso";"13739-070";"830.385.840-88"
2;"Clara";"Sousa";"32370-460";"334.655.643-32"
1;"Nicolas";"Barros";"91250-100";"686.046.717-73"
1;"Guilherme";"Rocha";"74946-643";"584.983.613-62"
2;"Nicolas";"Souza";"23094-080";"505.490.532-47"
1;"Nicolas";"Carvalho";"75124-610";"525.404.148-00"
1;"Gabrielle";"Oliveira";"40391-186";"988.531.536-52"
1;"Leonardo";"Alves";"41215-590";"772.197.003-26"
1;"Sofia";"Cardoso";"89214-710";"784.583.684-20"
1;"Julia";"Correia";"29147-610";"918.195.647-97"
2;"Paulo";"Pinto";"97050-570";"632.507.431-94"
1;"Livia";"Lima";"72856-491";"455.850.760-78"
2;"Diego";"Rocha";"38066-390";"849.707.647-86"
2;"Eduarda";"Alves";"72265-100";"883.447.522-48"
1;"Rodrigo";"Ferreira";"49030-530";"682.081.784-38"
2;"Lucas";"Oliveira";"88138-635";"877.181.305-50"
2;"Lucas";"Cunha";"06530-075";"117.209.650-30"
1;"Emilly";"Sousa";"23825-261";"407.166.253-00"
2;"Melissa";"Sousa";"04008-040";"208.393.637-02"
1;"Brenda";"Santos";"09854-240";"239.187.433-22"
2;"Emily";"Ferreira";"13732-430";"103.460.572-05"
2;"Julieta";"Dias";"29026-840";"937.540.720-99"
